"Item No.","Description","Qty.","Unit","Unit Cost (P)","Total Amount (P)"
"B.4 (1)","Construction Survey and Staking","1.00","l.s.","18,760.00","18,760.00"
"B.5","Project Billboard/Signboard","2.00","each","7,370.00","14,740.00"
"B.7(2)","Occupational Safety and Health Program","1.00","l.s.","34,989.15","34,989.15"
"B.9","Mobilization/Demobilization","1.00","l.s.","48,400.00","48,400.00"
"900(1)b1","Structural Concrete, Class ""A"" (14 Days)","0.57","cu.m.","10,338.07","5,892.70"
"1602(5)","Polyethylene (PE) Plastic Pipe","1.00","l.s.","22,780.00","22,780.00"
"1002(21)","Faucet","3.00","pc.","2,948.00","8,844.00"
"1002(13)","Slop Sink, Complete","3.00","set","5,628.00","16,884.00"
"1201(9)c","Overhead Tank (Polyethylene)","3.00","set","30,250.00","90,750.00"
"1001(1)a1","50mm PVC Pipes and Fittings, Series 1000","9.00","m.","1,089.00","9,801.00"
"1001(1)a2","75mm PVC Pipes and Fittings, Series 1000","40.00","m.","1,331.00","53,240.00"
"1013(2)b1","Fabricated Metal Roofing Accessory (Gutter)","54.00","l.m.","670.00","36,180.00"
"1032(1)c","Painting Works (Steel)","41.46","sq.m.","495.80","20,555.87"
"1047(6)","Structural Steel (Steel Platform)","511.47","kg","120.60","61,683.28"
,"SUB-TOTAL",,,,"443,500.00"
